,Company Name,Company ID,Rating,Offer,Details,Original Price,Sale Price,percent_savings,Num_bought,Num_outlets,Outlet Names,Offer start date,Date retrieved
151,DENEB HAIR ART,4371,3.80,"K-Therapy Active Repair Hair and Scalp Treatment + Nano Mist Treatment + Senior Stylist Cut, Wash, and Blow for 1 Person","Run your fingers through silky strands after pampering your hair and scalp with a K-Therapy Active Repair treatment. The treatment nourishes and smooths frizzy strands, while the nano mist treatment replenishes moisture in your hair, and boosts resistance to external harmful substances. Complete your look with a senior stylist cut, wash, and blow for sleek, new style.",S$98,S$18,82,166,2,"['Tanjong Pagar Plaza', 'Midpoint Orchard']",2017-09-20T00:00:00.000+08:00,2018-03-02
152,Beautti Slim,2509,4.10,1-Hour Indulgent Facial for 1 Person (1 Session),"Rejuvenate yourself with Beautti Slim’s Indulgent Facial. Aaccompanied with eyebrow grooming, the facial is designed to remove dead skin, dirt and oil; allowing your skin to regenerate for better complexion and elasticity.",S$128,S$18,86,166,2,"['Harbourfront', '#14-05/06, Ngee Ann City']",2017-02-21T00:00:00.000+08:00,2018-03-02
153,N20 Nail Spa,2222,4.20,Gel Mani-Pedi with Return Soak-Off + Foot Soak for 1 Person (2 Sessions),"Squeeze in a little me-time with a gel manicure and pedicure! Get treated with Footlogix treatments for cracked heels, fungal infections, calluses, and more. Gel polish is longer lasting and chip-resistant, but can be easily removed with included return soak-off session.",S$312,S$70,78,165,2,"['#B1-07, Westgate', '#02-158, VivoCity']",2017-01-14T00:00:00.000+08:00,2018-03-02
154,SkinLab The Medical Spa,822,4.20,2-Session 90-Min Aqua ST Peel Facial with Customized Mask for 1 Person,"Pamper your skin to a facial. The occasional facial can help rejuvenate your skin, and clear your skin from the toxins you expose yourself to daily. Sit back, relax, and let experienced therapists help you achieve healthy skin.",S$536,S$60,89,164,6,"['#04-04, Wheelock Place', '#03-33, Plaza Singapura', '#B1-62, Jurong Point', '#04-22, Westgate', '#04-02, Junction 8', '#04-11, Causeway Point']",2016-08-11T00:00:00.000+08:00,2018-03-02
155,SkinLab The Medical Spa,822,4.20,2-Session 90-Min Gentle Milk Exfoliation Facial Treatment with Mask for 1 Person,"Pamper your skin to a facial. The occasional facial can help rejuvenate your skin, and clear your skin from the toxins you expose yourself to daily. Sit back, relax, and let experienced therapists help you achieve healthy skin.",S$376,S$50,87,164,6,"['#04-04, Wheelock Place', '#03-33, Plaza Singapura', '#B1-62, Jurong Point', '#04-22, Westgate', '#04-02, Junction 8', '#04-11, Causeway Point']",2015-06-12T00:00:00.000+08:00,2018-03-02
156,1Gravity,3808,3.80,Hair Rebonding/Digital Perm with Hair Treatment for 1 Person,"Wear a new style by perming or straightening your hair. Head over to 1Gravity, and let their hairdressers give you a new look. Maintain your hair with a treatment.",S$273,S$58,79,164,1,['Tanjong Pagar Centre'],2017-05-30T00:00:00.000+08:00,2018-03-02
157,Altair Dream Art,3690,3.90,Schwarzkopf IGORA Hair Colouring/Highlight with Keratain Hair Treatment  + Cut for 1 Person,"Add up colour to your hair, or spritz it with some highlights to create a new bolder look for yourself. Get yourself a hair treatment to maintain those luscious locks as well with this package.",S$338,S$48,86,163,1,['Bugis Cube'],2017-05-19T00:00:00.000+08:00,2018-03-02
158,Nailz Gallery,2702,4.20,Gel Manicure with Return Soak-Off + Classic Pedicure for 1 Person (2 Sessions),Reinforce your nail beds with a durable coating of gel polish that is resistant to chipping and cracking. Don't forget to tend to your toes with a classic pedicure and deals with calluses and stubborn cuticles while giving it a little brightening up with a coat of nail colour.,S$252,S$68,73,163,6,"['#02-01G, Rivervale Mall', 'HarbourFront Centre', 'Causeway Point Shopping Centre', '#02-15, AMK Hub', '#B2-27/28, Chinatown Point', '#B1-114, Northpoint ']",2017-06-30T00:00:00.000+08:00,2018-03-02
159,Nail Indulgence De Beau,2732,4.30,Lash Natural Korean Eyelash Extension with Touch Up for 1 Person,"Forget about those longer-lash mascara when you can get yourself a natural Korean eyelash extension with Lash products. Wake up everyday with naturally long lashes, and hop out of your bed ready to face the world. ",S$128,S$28,78,161,1,['Bugis'],2017-05-05T00:00:00.000+08:00,2018-03-02
160,Le Parlor Hair Boutique,2635,3.60,Rebonding / Korean Wave Perm with L'Oréal Hair Spa for 1 Person,"Bored of your look? Change up your do with either a rebonding or Korean wave perm at Le Parlor Hair Boutique, conveniently located a 10-minute walk from Tiong Bahru MRT station. Skilled stylists also pamper tresses with hair spa treatment using L'Oréal products to prolong results of chemically-treated hair, as well as smoothen hair texture. Get a cut that complements your new hairstyle too.",S$228,S$38,83,160,1,['Tiong Bahru'],2015-12-18T00:00:00.000+08:00,2018-03-02
161,Expert Hair Master,3201,3.90,Aqua Rebonding/Aqua Japanese Perm with Wash and Blow + Treatment/Senior Stylist's Cut for 1 Person (1 Session),Change up the texture of your hair for a smooth straight style or a bouncy perm with an aqua rebonding or aqua Japanese perm treatment. Choose between a treatment that will help your hair gain back lost nutrients or a senior hairstylist's cut that will give you the latest trendy hairstyle.,S$216,S$58,73,158,1,"['#04-92, Far East Plaza']",2017-04-26T00:00:00.000+08:00,2018-03-02
162,Jean Yip Nail Bar,4486,4.20,Gel Manicure with Return Soak-Off for 1 Person (2 Sessions),Dip your hands into the bright colours of gel polish available at Jean Yip Nail Bar. Pick out a shade of your desire and let your fingernails be daubed in chip-resistant colours!,S$210,S$34,84,158,4,"['#02-43/44, Bugis Junction ', '#04-02, Plaza Singapura', '#03-13/14/K1, Tampines Mall', '#02-16/17, Jurong Point ']",2017-09-09T00:00:00.000+08:00,2018-03-02
163,Finger Spa & Beauty Palace,4622,4.40,Classic Mani-Pedi + Foot Soak and Foot Scrub for 1 Person (1 Session),Flaunt your talons with this classic mani-pedi that adds a pop of colour to your daily outfit. Complement your pampering treatment with a foot soak and scrub that softens and exfoliates dead skin cells.,S$54,S$20,63,157,1,"['#03-15, The Centrepoint']",2017-09-27T00:00:00.000+08:00,2018-03-02
164,Paris Beauty House,2493,4.40,Eyelash Perming for 1 Person (2 Sessions),"Stun the ground with fluttering lashes with eyelash perming done at Paris Beauty House. Curled eyelashes allow for easier mascara application, saving you a considerable amount of time every morning for you to catch up on some sleep, and shutting down every opportunity that could set your lashes on fire.",S$116,S$25,78,156,1,['Holland Road Shopping Centre'],2015-11-23T00:00:00.000+08:00,2018-03-02
165,Nailz Gallery,2702,4.20,Gel Pedicure with Return Soak-Off for 1 Person (1 Session),Keep things trim and sparkly with a gel pedicure dedicated to keeping your nails neatly groomed. Soften tough calluses and tend to troublesome hangnails while getting yourself a durable coating of gel nail polish.,S$108,S$22,80,156,6,"['#02-01G, Rivervale Mall', 'HarbourFront Centre', 'Causeway Point Shopping Centre', '#02-15, AMK Hub', '#B2-27/28, Chinatown Point', '#B1-114, Northpoint ']",2017-06-30T00:00:00.000+08:00,2018-03-02
166,Aurora Nail,4079,4.50,Gelish Manicure with Classic Pedicure with Returned Soak off and Foot Soak for 1 Person (2 Sessions),"Get beautifully shiny nails and add an elegant touch to your fingers and toes with this mani-pedi treatment. Allow the professionals to work on your hands and feet to give you beautifully shiny nails. Choose from a rainbow palette of colours available and go bold with brighter and vibrant colours or stay muted with sweet pastels. Additionally, indulge in a pampering foot soak that will leave you with softer skin.",S$216,S$45,79,155,1,['Marine Parade Central'],2017-07-06T00:00:00.000+08:00,2018-03-02
167,Just 10 Group,2220,3.50,Intense Hair Repairing Treatment for 1 Person,"Keep you hair in a silky smooth and hydrated condition with this intense hair treatment. Hairstylists from Singapore and Japan with over 5 years of experience use paraben and silicone-free hair care products to bring lustre back to your mane. Conveniently located at six outlets islandwide, Just 10 Group has also been featured in magazines like Cleo, Female, and Scene.",S$88,S$10,89,154,5,"['#05-85,Far East Plaza', '#02-15/16,Liang Court', 'Changi City Point', '#01-07,Djitsun Mall', '#01-35, Waterway Point']",2017-04-25T00:00:00.000+08:00,2018-03-02
168,Plush,2408,4.30,Korean Eyelash Extension for 1 Person ,"For those who would want a longer, and fuller lashes, you can head over to Plush and get yourself 80 strands lashes. Now, you can flutter those eyelashes away. ",S$120,S$28,77,153,1,"['#03-06, Orchard Gateway']",2017-06-08T00:00:00.000+08:00,2018-03-02
169,Renelle Beaute,4735,4.70,90-Minute Centella Organic Intense Radiance Facial Treatment for 1 Person,"Brighten your skin and let it radiate with a Centella Organic intense radiance facial. With brighter and more radiant skin, look and feel younger with glowing skin. Additionally, receive a pampering face and shoulder massage that will ease strained muscles. Maintain your skin condition with aftercare products that are included in this package.",S$198,S$22,89,153,1,['Tampines Central'],2017-10-24T00:00:00.000+08:00,2018-03-02
170,DRx Medispa,1006,4.50,60-Min DRx Essential Deep Cleansing Facial for 2 People,"Pamper your skin with a facial that treats blemished, acne-prone skin and clogged pores through gentle exfoliation while hydrating and replenishing skin with essential nutrients to encourage natural skin healing. Suitable for all skin types, including acne-prone, combination, and oily skin.",S$280,S$68,76,152,2,"['Tong Building', '#03-01B, Wisma Atria']",2017-04-12T00:00:00.000+08:00,2018-03-02
171,Iconic Korean Hair Studio,2294,4.50,"Hair Remodelling + Cut, Wash, and Blow + Hair and Scalp Treatment for 1 Person","Discover the beauty of healthy locks with a hair remodelling consultation, paired with an exclusive cut, wash and blow at Iconic Korean Hair Studio. With both local and Korean stylists available, you get to take your pick! Infuse all the right vitamins into your hair for a healthy glow with a treatment which follows after.",S$295,S$62,79,150,1,"['#03-19, One Raffles Place']",2017-04-05T00:00:00.000+08:00,2018-03-02
172,Nails To Nails,2462,4.30,Classic Mani-Pedi for 1 Person (1 Session),"Conveniently located by the Sengkang MRT station, get a quick style upgrade at Nails To Nails with their classic mani-pedi session. Be dazzled by their fine work of art and earn the rights to show your pretty nails off!",S$60,S$18,70,150,1,['Sengkang Square\u200e'],2016-09-17T00:00:00.000+08:00,2018-03-02
173,Plush,2408,4.30,Brazilian Waxing with Antioxidant Treatment for 1 Person (1 Session),"Plush Brazilian Waxing uses Australian premium hard wax resulting in long-lasting hairlessness with finer regrowth, the added antioxidant treatment helps boosts immune system and metabolism. Try out the waxing treatment here to feel the difference for yourself!",S$60,S$25,58,149,1,"['#03-06, Orchard Gateway']",2017-05-03T00:00:00.000+08:00,2018-03-02
174,Ginza Calla,3796,4.00,3 Sessions of Full Leg IPL + Lifetime Underarm IPL for 1 Person,"Body hair removal doesn’t have to a distressing affair – IPL ensures a quick, non-invasive, and mostly pain-free hair removal treatment for full leg and underarms. Boasting a line of therapists trained under a Japanese management, this beauty centre is located in Plaza Singapura, a 5-minute walk from Dhoby Ghaut MRT.","S$2,344",S$68,97,149,2,"['#04-55, Plaza Singapura', 'International Building']",2017-05-29T00:00:00.000+08:00,2018-03-02
175,Ardmore Medical Spa,2146,4.50,2-Session 60-Min Snow White Aesthetic  Facial for 1 Person,"The occasional facial has many benefits to your skin. Indulge in a snow white aesthetic facial that could exfoliate and smoothen your skin. This treatment is also engineered to help reduce fine lines, wrinkles, and pigmentation so you can look younger for longer. ",S$592,S$48,92,148,2,"['International Building', 'Novena Medical Centre']",2017-05-12T00:00:00.000+08:00,2018-03-02
176,Beijing 101,3162,4.30,Customised Scalp Renewal Treatment with Infrared Treatment for 1 Person,"Revitalise your thick and luscious hair with a hair treatment! Package includes a scalp purification mask application that removes clogged sebum from hair follicles and encourages healthier hair growth, while infrared scalp therapy helps boost blood circulation while promoting tissue regeneration. Get a complimentary Beijing 101 wooden massage brush for a stimulating DIY scalp massage.",S$420,S$28,93,148,7,"['#01-129, Tiong Bahru Plaza', '#05-15, Hougang Mall', '#B1-05, JCube Shopping Centre', '#05-02A, CausewayPoint', '#03-24, Eastpoint Mall', '#04-08, NEX', '#03-27, Northpoint City']",2017-04-26T00:00:00.000+08:00,2018-03-02
177,Creative Artistry by Lavond,4609,4.80,1-Hour Korean Premium Soft Mink Lash by Lash Eyelash Extension + One (1) Return Lash Touch-Up,"Enhance the flutter in your eyes with thick, long, voluminous lush lashes with this offer. Mink lashes last longer because they are light and will make your lashes look more natural as they are made of natural fibres. So get your light, fluffy, and soft natural-looking lashes now at Creative Artistry by Lavond. Included with this package is a return touch-up session, to maintain those luscious peepers of yours.",S$146,S$42,71,148,1,['CityLink Mall'],2017-10-03T00:00:00.000+08:00,2018-03-02
178,Atlas Medispa,2637,4.20,80-Minute Men's Pore Minimising Facial for 1 Person (2 Sessions),"If your face feels a little too oily by midday, minimise it with this pore minimising facial. This facial is good for sebum control, unclogging pores, and nourishing dehydrated skin for overall improved skin texture. Located just three-minutes away from Orchard MRT station, Atlas Medispa uses Korean lab-researched topical serums and technology in their treatments.",S$500,S$28,94,147,1,"['#24-10, Ngee Ann City']",2017-03-16T00:00:00.000+08:00,2018-03-02
179,Kelyn Esther,2898,3.80,Gel Manicure + Classic Pedicure with Return Soak-Off for 1 Person (1 Session),"Be spoilt for choice with over 500 unique nail colours at Kelyn Esther with their gel manicure and classic pedicure with return soak-off and Dead Sea and Organic foot spray, soak and scrub. Gel polish withstands chips and cracks for up to two weeks, with proper care and maintenance. Conveniently located near the Bugis MRT station, allow their nail artists to apply vibrant shades of polish on your nails for an upgraded look.",S$90,S$28,69,147,1,['Bugis'],2016-12-13T00:00:00.000+08:00,2018-03-02
180,Aurora Hair Art,4422,3.90,Senior Stylist's Cut with Hair Remodeling Consultation + Hair Treatment for 1 Person (1 Session),"Update your style with a cut administered by the senior stylist. With a hair remodeling consultation service done beforehand, the stylist will be able to find a style that will suit you and bring out your features. Additionally, receive a nourishing treatment that will help to replenish nutrients into your hair.",S$138,S$28,80,147,1,['Bugis Cube '],2017-09-07T00:00:00.000+08:00,2018-03-02
181,Allure Beauty Saloon,2216,3.80,Eyebrow Embroidery with Shaping and Touch-Up for 1 Person,"Get lush, fluffy eyebrows of your Instagram dreams with an eyebrow embroidery, which also helps reduce the amount of brow make-up you use and save time on application. Pre-treatment consultation with skilled beauticians ensures that you get the shape you prefer, that also matches your eye and face shape.",S$328,S$78,76,147,5,"['Tiong Bahru Plaza', '#04-10,West Mall', '#03-29/30, City Square Mall', 'Tampines Central', 'Ang Mo Kio Central']",2017-02-22T00:00:00.000+08:00,2018-03-02
182,Paris Beauty House,2493,4.40,Korean Single Lash Eyelash Extensions with Touch Up Session for 1 Person,"Stun the ground with fluttering lashes with Korean single lash eyelash extensions with touch up session done at Paris Beauty House. The extensions increase eyelash length and volume without the usage of makeup, saving you a considerable amount of time every morning for you to catch up on some sleep!",S$128,S$32,75,146,1,['Holland Road Shopping Centre'],2015-12-24T00:00:00.000+08:00,2018-03-02
183,Spa D'or,2362,4.00,Brazilian Waxing for 1 Person (3 Sessions),"Wear your swimsuit at the beach or pool these holidays with confidence with this offer of a 3-session Brazilian waxing at Spa D'or. Then, take some Insta-worthy holiday photos flaunting your flawless, smooth, hairless skin to share with the world!",S$204,S$48,76,146,1,"['#02-15, Raffles City']",2017-09-26T00:00:00.000+08:00,2018-03-02
184,Anew Me Beauty Aesthetic,2876,4.40,12-Session Half Leg SHR Hair Removal for 1 Person,"Tend to body hair and have them removed in a swift, pain-free manner with an SHR hair removal. SHR utilises broad-spectrum low intensity light to penetrate into the skin and targets hair bulbs within the hair follicles without aggravating the skin or causing pain.","S$1,800",S$108,94,145,1,"['#03-27, The Centrepoint']",2017-05-04T00:00:00.000+08:00,2018-03-02
185,The Professionails,2391,3.60,Gel Manicure with Return Soak-Off + Classic Gel Pedicure with Cuccio Naturalé Foot Soak and Scrub for 1 Person (1 Session),"Let your beauty shine through your nails with a gel classic manicure with return soak-off and gel classic pedicure with foot soak and scrub at The Professionails. Gel polish withstands chips and cracks and lasts longer than normal polish, while the return soak-off removes all traces of nail polish. Foot scrub smooths rough areas and foot soak softens calluses on feet with indulgent Cuccio products from Italy.",S$120,S$38,68,145,2,"['#01-06,Midpoint Orchard', 'Queen Street']",2015-08-22T00:00:00.000+08:00,2018-03-02
186,Aurora Nail,4079,4.50,Gelish Manicure with Classic Pedicure with Returned Soak off and Foot Soak for 1 Person (1 Session),"Get beautifully shiny nails and add an elegant touch to your fingers and toes with this mani-pedi treatment. Allow the professionals to work on your hands and feet to give you beautifully shiny nails. Choose from a rainbow palette of colours available and go bold with brighter and vibrant colours or stay muted with sweet pastels. Additionally, indulge in a pampering foot soak that will leave you with softer skin.",S$108,S$25,77,144,1,['Marine Parade Central'],2017-07-06T00:00:00.000+08:00,2018-03-02
187,Lush Aesthetics,851,3.90,Brazilian IPL Hair Removal for 1 Person (12 Sessions),"Smooth out the whole shebang with a Brazilian IPL hair removal! This US FDA-approved treatment consists of quick and painless sessions, which result in longer-lasting smooth and hairless skin.","S$1,376",S$148,89,143,2,"['#B2-37, Bedok Mall', '#03-33, The Centrepoint']",2017-05-04T00:00:00.000+08:00,2018-03-02
188,Unique Crystal Beauty House,811,4.10,Gel Pedicure + Peppermint Scrub + Return Soak-Off + Glitter Tips for Two (2) Nails for 1 Person (1 Session),"Pretty, sparkly nails are within easy reach at Unique Crystal Beauty House, located conveniently near the Bugis MRT station, for a gel pedicure with glitter tips, peppermint scrub and return soak-off. Gel polish withstands chips and cracks for up to three weeks, with proper maintenance, decorated with some shining glitter tips to add glamour to complement your personality! Peppermint scrub easily removes dead skin cells, leaving you with smooth, desirable skin.",S$45,S$20,56,142,1,"['#02-05A, Bugis Cube']",2016-08-14T00:00:00.000+08:00,2018-03-02
189,Beleaf Beauty,4294,4.40,80-Strand Lash by Lash Extension for 1 Person,"Skip the whole process of putting glue, waiting for it to dry, and applying falsies with this eyelash extension treatment. By adding the lashes on one by one, your lashes will look more natural and authentically luscious.",S$120,S$22,82,141,1,['International Plaza'],2017-08-04T00:00:00.000+08:00,2018-03-02
190,Just 10 Group,2220,3.50,Hair Colouring or Highlighting with Scalp Protector Treatment,"Spiff and style your treasured tresses with a hair colouring or highlighting session with scalp protector treatment at Just 10 Group. Hairstylists from Singapore and Japan with over 5 years of experience, uses paraben and silicon-free hair care products to unveil the best of your strands.  Quality professional colouring products from Germany provides luminous and complete coverage of grey and white hair, while respecting the essential amino acids and lipid balance of hair. Essential vitamins in treatment protects and nourish scalp, ensuring no irritation and harm on your scalp, making it the suitable pick for oily, sensitive, itchy scalp or hair loss.",S$300,S$38,87,140,5,"['#05-85,Far East Plaza', '#02-15/16,Liang Court', 'Changi City Point', '#01-07,Djitsun Mall', '#01-35, Waterway Point']",2015-06-23T00:00:00.000+08:00,2018-03-02
191,Cola Beauty Slim Health,3203,4.30,Eyelash Extensions with Touch-Up + Eyebrow Shaping for 1 Person (1 Session),Get your lashes and eyebrows on fleek with this eyelash extensions and eyebrow shaping treatment. The lash-by-lash extensions frame your peepers and enhances features without the use of makeup. Maintain flaunt-worthy lashes with the accompanying one-time touch-up treatment.,S$108,S$30,72,139,1,"['#02-01A, Midpoint Orchard']",2017-02-28T00:00:00.000+08:00,2018-03-02
192,The Infinity Hair Art,2227,3.90,Brazilian Keratin and Argan Oil Hair Treatment + Senior Stylist Cut for 1 Person,"Get slick straight hair without frying them! Using American brand QOD hair products, gold Brazilian keratin treatment straightens hair as well as combats frizziness and brittleness, while argan oil treatment leaves hair smooth, tangle-free, and shiny. Also get a fresh haircut by a senior hairstylist to suit your new style.",S$436,S$108,75,138,2,"['Orchard Road', 'Marine Parade']",2016-02-01T00:00:00.000+08:00,2018-03-02
193,SKINLOGIC,2742,4.60,Brazilian IPL Hair Removal for 1 Person (12 Sessions),Earn long-lasting hairlessness with finer regrowth on your skin with a Brazilian IPL hair removal at SKINLOGIC. The treatment uses E-Light technology that helps rejuvenate skin and eliminate even minimally-pigmented hairs.,"S$3,000",S$115,96,138,1,"['#02-07, Midpoint Orchard']",2016-10-17T00:00:00.000+08:00,2018-03-02
194,Simply Aesthetics,988,4.30,Underarm SHR Laser Hair Removal (12 Sessions) with Microdermabrasion Peel for 1 Person,"Laser Hair Removal treatment is a pain-free, and hassle-free treatment to remove unwanted hairs. Enjoy wearing your sleeveless dresses, or your LBDs without the worry of having to shave and darken your skin. This treatment would not damage your skin.","S$8,520",S$88,99,138,1,"['#B1-28, Capitol Piazza']",2016-02-19T00:00:00.000+08:00,2018-03-02
195,Just 10 Group,2220,3.50,Hair Remodelling and Cut for 1 Person,"Spiff and style your treasured tresses with a hair remodelling session at Just 10 Group, which has been featured in magazines like Cleo, Female, and Scene. Hairstylists from Singapore and Japan with over 5 years of experience, uses paraben and silicon-free hair care products to unveil the best of your strands.",S$58,S$18,69,137,5,"['#05-85,Far East Plaza', '#02-15/16,Liang Court', 'Changi City Point', '#01-07,Djitsun Mall', '#01-35, Waterway Point']",2016-06-18T00:00:00.000+08:00,2018-03-02
196,Pixie Nail Spa,2144,4.40,Gel Pedicure with Return Soak-Off / Classic Pedicure for 1 Person (2 Sessions),"Dress up your bare enamels and pamper your feet with your choice of a classic pedicure or a gel pedicure with return soak-off. Gel colours last longer with minimal cracks and chipping, when properly maintained.",S$78,S$34,56,135,4,"['#B1-04,Hillion Mall', '#02-45, Chinatown Point', 'Tanjong Pagar Centre', '#B1-165, Northpoint']",2017-05-23T00:00:00.000+08:00,2018-03-02
197,EPI TREATZ,701,4.30,75-Min Oxygen Facial for 1 Person,"Indulge yourself in a 75-min oxygen facial that aims to regain the levels of oxygen in your skin, smoothing out wrinkles and restoring a youthful appearance to your face. ",S$350,S$32,91,135,3,"['Eastwood Centre', 'Leisure Park Kallang', '#03-16/17/18, Orchard Central']",2017-06-20T00:00:00.000+08:00,2018-03-02
198,Fabulous Aesthetics,2286,4.20,Brazilian Waxing for 1 Person,Is your beach body ready for summer heat? Bare it all without fear with a Brazilian waxing treatment for the ladies eager to get a well-rounded tan!,S$60,S$18,70,134,1,['The Bencoolen'],2017-05-18T00:00:00.000+08:00,2018-03-02
199,Skinn (SKINN beauty & body),2536,3.90,Lash-by-Lash Korean Eyelash Extensions for 1 Person (1 Session),"Draw people's attention all towards your eyes with a stunning yet natural lash-by-lash Korean eyelash extensions at Skinn. Eyelash extensions enhances appearance of your eyes without makeup, making your lashes look fuller and bushier.",S$128,S$22,83,133,2,"['#01-04, Djitsun Mall', 'Novena Square 2']",2016-02-06T00:00:00.000+08:00,2018-03-02
200,Tokyo Bust Express,2709,2.90,20-Session Bust Maximiser Treatment for 1 Person,"We've always been told that bigger busts is sexier. While every bust is just as beautiful, some may be unconvinced. This is the time to go and build that confidence of yours. These treatments are not just for aesthetics, but it could improve the overall health condition of your busts as well.","S$3,688",S$25,99,133,3,"['#03-32, NEX', 'Novena Square 2', 'Dhoby Ghaut']",2017-03-22T00:00:00.000+08:00,2018-03-02
201,Allure Beauty Saloon,2216,3.80,Lash-by-Lash Eyelash Extension for 1 Person,"Get long, slightly-curled, seductive lashes with an eyelash extension. Individual lashes are applied for longer-lasting and more natural-looking result. Choose a curl type, thickness, and length that suit your daily preferences. No mascara needed for bigger-looking eyes!",S$108,S$35,68,132,2,"['Tampines Central', 'Ang Mo Kio Central']",2017-01-10T00:00:00.000+08:00,2018-03-02
202,Trichokare,2929,4.00,Award-Winning 5-Step Hair and Scalp Treatment for 1 Person,"An ISO 9001-certified trichological centre founded by a certified trichologist and herbalist, and an award-winning salon with accolades including Harper’s BAZAAR’s Best Sebum-Regulating Treatment for Oily Scalp 2016 and the Singapore Women’s Weekly Spa Awards’ Best Anti-Ageing Hair Treatment 2016, Trichokare is dedicated in helping you with their 5-step hair and scalp treatment. The treatment uses premium grade hair care products formulated with European herbal-based pure bio-extracts.",S$298.53,S$21,93,132,5,"['Velocity@Novena Square.', '#02-24, NEX', 'The Clementi Mall', '#02-12, Orchard Gateway', '#04-10, Compass One']",2016-04-07T00:00:00.000+08:00,2018-03-02
203,Senses Spa,3140,4.40,75-Min Signature Senses Spa Facial with Head and Shoulder Massage for 1 Person,"Imbue facial planes with renewed energy with this 75-min Signature Senses Spa Facial that deeply cleanses the skin of dirt, excess sebum, and impurities, while lifting and moisturising skin for a more youthful appearance. The facial also includes a head and shoulder massage that relieves stress and boosts blood circulation for better overall health.",S$198,S$28,86,132,1,['Dhoby Ghaut'],2017-08-07T00:00:00.000+08:00,2018-03-02
204,Diva Spa,888,4.00,Eyelash Perming for 1 Person ,Eyelash perming is a simple procedure that permanently curls the eyelashes upward. This creates a look of youth and eliminates the need for daily eyelash curling.,S$58,S$15,74,131,2,"['Adelphi', 'Clementi']",2017-05-08T00:00:00.000+08:00,2018-03-02
205,SkinPerfect Aesthetics,2311,3.80,75-Minut Pure Oxygen Deep Cleansing Facial for 1 Person (1 Session),"Replenish the oxygen levels in your skin for a glowing, youthful appearance with an oxygen facial! Facial unclogs pores, eliminates skin impurities, reduce the appearance of fine lines and wrinkles, and hydrates skin for a smoother complexion.",S$388,S$28,93,130,6,"['#03-02 ,Compass One', '#03-26, Westgate', 'Tampines Central', '#04-39, Plaza Singapura', 'Toa Payoh Central', '#04-07,Parkway Parade']",2016-12-13T00:00:00.000+08:00,2018-03-02
206,The Cube Salon,3222,4.20,Rebonding or Digital Perm with Hair Treatment for 1 Person,"Give your locks a whole new look! Go for a sleek, smooth rebonding or a trendy digital perm. Top it off with a treatment to ensure that your hair stays frizz-free and luscious. Whichever you choose, you'll be sure to walk out feeling like a brand new you!",S$208,S$68,67,130,1,['Bugis Cube Singapore'],2017-10-25T00:00:00.000+08:00,2018-03-02
207,SkinPerfect Aesthetics,2311,3.80,80-Min Customisable Men's Hero Facial System for 1 Person (3 Sessions),"Fight dull and oily complexion with a customisable facial! Customisable facial lifts, brightens, and moisturises skin while reducing the appearance of fine lines and wrinkles. Conveniently located at seven outlets nearby MRT stations, this multiple award-winning centre uses SkinScience products.",S$564,S$48,91,129,6,"['#03-02 ,Compass One', '#03-26, Westgate', 'Tampines Central', '#04-39, Plaza Singapura', 'Toa Payoh Central', '#04-07,Parkway Parade']",2017-02-17T00:00:00.000+08:00,2018-03-02
208,LifeSpa,676,4.40,1-Hour Golden Radiance Facial for 1 Person,"Indulge in a facial to remove those toxins from your skin. Achieve healthy, glowing skin with the occasional facial indulgence.",S$235,S$18,92,129,3,"['L11, Orchard Gateway', 'Carlton Hotel (PrestigeOne)', 'Carlton Hotel  (PrestigeTwo)']",2016-06-21T00:00:00.000+08:00,2018-03-02
209,Oriental Hair Solutions,4487,4.10,Herbal Scalp and Oxygen Hair Root Therapy + Hair Care Kit for 1 Person (1 Session),"Restore your hair health with an extensive hair loss therapy, utilising state-of-the-art equipment to help boost your hair regrowth and reduce hair fall. Obtain a diagnosis at the hands of a professional consultation that includes a hair and scalp analysis to better understand the causes and treatments for hair loss.",S$358,S$18,95,129,10,"['#05-19, Ngee Ann City', 'Tiong Bahru Plaza', '#05-27/28, Tampines One', '#05-17, Parkway Parade', '#04-14, Causeway Point', '#03-16, Compass One', '#04-02, Hougang Mall', '#B1-03/04, Jurong Point', 'The Clementi Mall', '#B1-07A, Junction 8']",2017-09-08T00:00:00.000+08:00,2018-03-02
210,Aurora Hair Art,4422,3.90,Senior Stylist Cut with Hair Remodeling Consultation (1 Session) for 1 Person,"Update your style with a cut administered by the senior stylist. With a hair remodeling consultation service done beforehand, the stylist will be able to find a style that will suit you and bring out your features. Leave with a new and trendy look that will turn heads wherever you go.",S$68,S$18,74,128,1,['Bugis Cube '],2017-09-07T00:00:00.000+08:00,2018-03-02
211,Wax Diva,929,4.20,Brazilian Waxing for 1 Person (1 Session),Rock that beach bod and feel the wind on your bare skin with a Brazilian waxing! Tame unruly body hair with longer lasting hairlessness.,S$55,S$22,60,128,1,"['#04-137A, Far East Plaza']",2017-07-27T00:00:00.000+08:00,2018-03-02
